plot;botaniker_2021;verortung;aufnahmedatum_2021;vegetationshoehe_2021;streuhoehe_2021;vegetationsdeckung_2021;moosdeckung_2021;flechtendeckung_2021;streudeckung_2021;rohbodendeckung_2021;botaniker_2026;aufnahmedatum_2026;vegetationshoehe_2026;streuhoehe_2026;vegetationsdeckung_2026;moosdeckung_2026;flechtendeckung_2026;streudeckung_2026;rohbodendeckung_2026
tum01;Markus Bauer;sued;19.06.2021;20;2;70;10;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum02;Markus Bauer;sued;19.06.2021;25;3;80;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum03;Markus Bauer;sued;19.06.2021;15;2;70;4;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum04;Markus Bauer;sued;16.06.2021;20;4;70;2;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum05;Markus Bauer;sued;16.06.2021;25;4;80;0,5;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum06;Markus Bauer;sued;16.06.2021;10;2;70;4;0;30;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum07;Markus Bauer;sued;16.06.2021;20;4;70;4;0;50;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum08;Markus Bauer;sued;16.06.2021;15;2;70;4;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum09;Markus Bauer;sued;16.06.2021;15;2;70;10;0;30;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum10;Markus Bauer;sued;16.06.2021;10;2;60;4;0,5;50;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum11;Markus Bauer;sued;15.06.2021;25;3;80;1;0;20;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum12;Markus Bauer;sued;16.06.2021;20;2;70;10;0;30;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum13;Markus Bauer;sued;16.06.2021;15;2;70;4;0;30;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum14;Markus Bauer;sued;16.06.2021;15;3;70;10;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum15;Markus Bauer;sued;15.06.2021;15;3;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum16;Markus Bauer;rollfeld;16.06.2021;5;1;60;70;10;20;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum17;Markus Bauer;sued;15.06.2021;15;2;70;4;0;30;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum18;Markus Bauer;rollfeld;15.06.2021;10;2;70;20;20;30;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum19;Markus Bauer;sued;15.06.2021;25;2;70;2;0;20;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum20;Markus Bauer;sued;19.06.2021;30;5;80;4;0;30;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum21;Markus Bauer;sued;19.06.2021;15;2;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum22;Markus Bauer;rollfeld;19.06.2021;10;2;60;20;4;30;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum23;Markus Bauer;sued;19.06.2021;15;2;70;10;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum24;Markus Bauer;rollfeld;19.06.2021;5;1;50;30;10;20;10;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum25;Markus Bauer;rollfeld;19.06.2021;5;1;30;40;0,5;10;30;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum26;Markus Bauer;rollfeld;19.06.2021;5;1;40;10;0,5;20;30;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum27;Markus Bauer;mitte;22.06.2021;20;4;80;10;0;40;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum28;Markus Bauer;mitte;22.06.2021;20;3;80;20;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum29;Markus Bauer;mitte;22.06.2021;15;2;70;2;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum30;Markus Bauer;mitte;22.06.2021;15;2;60;2;0;50;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum31;Markus Bauer;mitte;22.06.2021;15;4;70;2;0;50;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum32;Markus Bauer;mitte;22.06.2021;15;2;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum33;Markus Bauer;mitte;22.06.2021;15;2;70;2;0;50;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum34;Markus Bauer;mitte;22.06.2021;20;2;70;0,5;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum35;Markus Bauer;mitte;22.06.2021;20;2;80;2;0;30;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum36;Markus Bauer;mitte;23.06.2021;10;2;70;2;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum37;Markus Bauer;mitte;22.06.2021;20;3;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum38;Markus Bauer;mitte;23.06.2021;20;2;80;2;0;30;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum39;Markus Bauer;mitte;23.06.2021;15;2;70;0,5;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum40;Markus Bauer;mitte;23.06.2021;15;3;70;2;0;50;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum41;Markus Bauer;mitte;23.06.2021;20;3;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum42;Markus Bauer;mitte;23.06.2021;15;2;60;0,5;0;50;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum43;Markus Bauer;mitte;17.06.2021;20;2;70;2;0;30;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum44;Markus Bauer;mitte;23.06.2021;20;2;60;2;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum45;Markus Bauer;mitte;23.06.2021;15;2;70;0,5;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum46;Markus Bauer;mitte;17.06.2021;15;2;70;2;0;30;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum47;Markus Bauer;mitte;17.06.2021;20;2;70;2;0,5;40;4;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum48;Markus Bauer;mitte;17.06.2021;20;2;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum49;Markus Bauer;mitte;23.06.2021;15;2;70;2;0,5;50;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum50;Markus Bauer;mitte;17.06.2021;20;3;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum51;Markus Bauer;mitte;17.06.2021;15;2;60;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum52;Markus Bauer;mitte;17.06.2021;20;3;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum53;Markus Bauer;mitte;17.06.2021;20;3;60;0,5;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum54;Markus Bauer;mitte;23.06.2021;15;3;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum55;Markus Bauer;mitte;23.06.2021;10;1;70;0,5;0,5;30;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum56;Markus Bauer;mitte;23.06.2021;15;2;70;0,5;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum57;Markus Bauer;mitte;18.06.2021;15;2;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum58;Markus Bauer;mitte;18.06.2021;10;2;70;2;0;30;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum59;Markus Bauer;mitte;18.06.2021;15;2;60;2;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum60;Markus Bauer;mitte;18.06.2021;15;2;70;2;0;40;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum61;Markus Bauer;mitte;18.06.2021;15;2;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum62;Markus Bauer;nord;18.06.2021;15;2;70;2;0;40;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum63;Markus Bauer;nord;18.06.2021;20;2;70;4;0;50;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum64;Markus Bauer;nord;18.06.2021;20;2;70;20;0;30;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum65;Markus Bauer;nord;18.06.2021;20;2;70;20;0;30;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum66;Markus Bauer;nord;17.06.2021;25;3;80;30;0;20;0,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum67;Markus Bauer;nord;18.06.2021;20;2;70;40;0;20;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
tum68;Markus Bauer;mitte;21.07.2021;20;2;90;2;0;40;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
